trunk-recorder-configs,RFSS,Site Dec,Site Hex,Site NAC,Description,County Name,Lat,Lon,Range,Frequencies,,,,,,,,,,,,
| Mississippi | Lauderdale | MSWIN Mississippi Wireless Integrated Network | [Kewanee](/configs/Mississippi/counties/LAUDERDALE/Kewanee.MSWIN.2-041.P25.json) |,2,041,29,2A0,Kewanee,Lauderdale,32.47072,-88.45283,16,769.193750c,769.443750c,769.693750c,769.943750c,773.63125,773.95625,,,,,,,
| Mississippi | Lauderdale | MSWIN Mississippi Wireless Integrated Network | [Martin](/configs/Mississippi/counties/LAUDERDALE/Martin.MSWIN.2-043.P25.json) |,2,043,2B,,Martin,Lauderdale,32.56383,-88.88664,16,769.50625,774.043750c,774.293750c,774.543750c,774.793750c,,,,,,,,
| Mississippi | Lawrence | MSWIN Mississippi Wireless Integrated Network | [MDOT Lawrence](/configs/Mississippi/counties/LAWRENCE/MDOT_Lawrence.MSWIN.1-031.P25.json) |,1,031,1F,,MDOT Lawrence,Lawrence,31.594531,-89.982131,14,771.43125,774.08125,774.331250c,774.581250c,774.831250c,,,,,,,,
| Mississippi | Leake | MSWIN Mississippi Wireless Integrated Network | [Walnut Grove](/configs/Mississippi/counties/LEAKE/Walnut_Grove.MSWIN.2-044.P25.json) |,2,044,2C,2A0,Walnut Grove,Leake,32.62289,-89.38725,14,773.18125,774.08125,774.331250c,774.581250c,774.831250c,,,,,,,,
| Mississippi | Leake | MSWIN Mississippi Wireless Integrated Network | [Four Corners](/configs/Mississippi/counties/LEAKE/Four_Corners.MSWIN.2-048.P25.json) |,2,048,30,,Four Corners,Leake,32.91681,-89.32903,16,773.04375,773.293750c,773.543750c,773.793750c,774.43125,,,,,,,,
| Mississippi | Leake | MSWIN Mississippi Wireless Integrated Network | [Thomastown](/configs/Mississippi/counties/LEAKE/Thomastown.MSWIN.2-049.P25.json) |,2,049,31,2A2,Thomastown,Leake,32.86672,-89.70431,14,770.83125,774.03125,774.281250c,774.531250c,774.781250c,,,,,,,,
| Mississippi | Lee | MSWIN Mississippi Wireless Integrated Network | [Satillo](/configs/Mississippi/counties/LEE/Satillo.MSWIN.3-045.P25.json) |,3,045,2D,2A5,Satillo,Lee,34.368056,-88.693333,17,769.33125,769.83125,770.281250c,770.531250c,770.806250c,772.731250c,,,,,,,
| Mississippi | Lee | MSWIN Mississippi Wireless Integrated Network | [Nichols Park](/configs/Mississippi/counties/LEE/Nichols_Park.MSWIN.3-046.P25.json) |,3,046,2E,2A6,Nichols Park,Lee,34.21817,-88.73144,17,855.1875,855.612500c,856.262500c,856.987500c,857.262500c,,,,,,,,
| Mississippi | Leflore | MSWIN Mississippi Wireless Integrated Network | [Morgan City](/configs/Mississippi/counties/LEFLORE/Morgan_City.MSWIN.3-007.P25.json) |,3,007,7,2A3,Morgan City,Leflore,33.32456,-90.41183,16,769.468750c,769.718750c,769.968750c,772.85625,771.60625,,,,,,,,
| Mississippi | Lincoln | MSWIN Mississippi Wireless Integrated Network | [Brookhaven East ](/configs/Mississippi/counties/LINCOLN/Brookhaven_East_.MSWIN.1-032.P25.json) |,1,032,20,,Brookhaven East ,Lincoln,31.575115,-90.332012,14,771.83125,774.05625,774.306250c,774.556250c,774.806250c,,,,,,,,
| Mississippi | Lincoln | MSWIN Mississippi Wireless Integrated Network | [Brookhaven West ](/configs/Mississippi/counties/LINCOLN/Brookhaven_West_.MSWIN.1-033.P25.json) |,1,033,21,,Brookhaven West ,Lincoln,31.533444,-90.525722,12,769.18125,769.431250c,769.681250c,769.931250c,772.43125,772.75625,,,,,,,
| Mississippi | Lowndes | MSWIN Mississippi Wireless Integrated Network | [Crawford](/configs/Mississippi/counties/LOWNDES/Crawford.MSWIN.2-021.P25.json) |,2,021,15,,Crawford,Lowndes,33.33508,-88.58478,16,769.218750c,769.468750c,769.718750c,769.968750c,774.45625,774.73125,,,,,,,
| Mississippi | Lowndes | MSWIN Mississippi Wireless Integrated Network | [Columbus](/configs/Mississippi/counties/LOWNDES/Columbus.MSWIN.2-025.P25.json) |,2,025,19,,Columbus,Lowndes,33.55392,-88.37303,16,771.88125,771.50625,774.031250c,774.281250c,774.531250c,774.781250c,,,,,,,
| Mississippi | Madison | MSWIN Mississippi Wireless Integrated Network | [Lake Cavalier](/configs/Mississippi/counties/MADISON/Lake_Cavalier.MSWIN.2-012.P25.json) |,2,012,C,2A5,Lake Cavalier,Madison,32.45803,-90.22139,18,769.19375,769.44375,769.69375,769.94375,770.20625,770.45625,770.706250c,770.956250c,773.73125,773.98125,774.568750c,774.818750c,
| Mississippi | Madison | MSWIN Mississippi Wireless Integrated Network | [Sharon](/configs/Mississippi/counties/MADISON/Sharon.MSWIN.2-014.P25.json) |,2,014,E,2A6,Sharon,Madison,32.67714,-89.90889,14,772.35625,772.78125,774.05625,774.306250c,774.556250c,774.806250c,,,,,,,
| Mississippi | Madison | MSWIN Mississippi Wireless Integrated Network | [Ridgeland](/configs/Mississippi/counties/MADISON/Ridgeland.MSWIN.2-057.P25.json) |,2,057,39,,Ridgeland,Madison,32.40764,-90.15094,12,854.4125,854.662500c,854.937500c,855.387500c,856.2375,856.4375,857.2375,857.4375,,,,,
| Mississippi | Madison | MSWIN Mississippi Wireless Integrated Network | [Canton](/configs/Mississippi/counties/MADISON/Canton.MSWIN.2-065.P25.json) |,2,065,41,,Canton,Madison,32.60186,-90.07478,18,771.293750c,771.818750c,772.21875,774.23125,774.73125,772.21875,,,,,,,
| Mississippi | Marion | MSWIN Mississippi Wireless Integrated Network | [Sandy Hook](/configs/Mississippi/counties/MARION/Sandy_Hook.MSWIN.1-001.P25.json) |,1,001,1,,Sandy Hook,Marion,31.013658,-89.795994,12,771.65625,774.04375,774.293750c,774.543750c,774.793750c,,,,,,,,
| Mississippi | Marion | MSWIN Mississippi Wireless Integrated Network | [Columbia East](/configs/Mississippi/counties/MARION/Columbia_East.MSWIN.1-012.P25.json) |,1,012,C,,Columbia East,Marion,31.336174,-89.69576,12,770.20625,770.456250c,770.706250c,770.956250c,774.65625,,,,,,,,
| Mississippi | Marion | MSWIN Mississippi Wireless Integrated Network | [Foxworth](/configs/Mississippi/counties/MARION/Foxworth.MSWIN.1-013.P25.json) |,1,013,D,,Foxworth,Marion,31.258268,-89.933129,12,772.78125,773.06875,773.318750c,773.568750c,773.818750c,,,,,,,,
| Mississippi | Marshall | MSWIN Mississippi Wireless Integrated Network | [Laws Hill](/configs/Mississippi/counties/MARSHALL/Laws_Hill.MSWIN.3-027.P25.json) |,3,027,1B,2A0,Laws Hill,Marshall,34.6439,-89.56098,16,770.20625,770.456250c,770.706250c,770.956250c,772.88125,772.58125,,,,,,,
| Mississippi | Marshall | MSWIN Mississippi Wireless Integrated Network | [Holly Springs](/configs/Mississippi/counties/MARSHALL/Holly_Springs.MSWIN.3-028.P25.json) |,3,028,1C,,Holly Springs,Marshall,34.78394,-89.39922,16,771.50625,771.80625,774.04375,774.293750c,774.543750c,774.793750c,,,,,,,
| Mississippi | Monroe | MSWIN Mississippi Wireless Integrated Network | [Wise Gap](/configs/Mississippi/counties/MONROE/Wise_Gap.MSWIN.2-029.P25.json) |,2,029,1D,,Wise Gap,Monroe,33.87972,-88.34214,16,770.15625,770.406250c,770.656250c,770.906250c,774.13125,773.49375,,,,,,,
| Mississippi | Monroe | MSWIN Mississippi Wireless Integrated Network | [Ashcroft](/configs/Mississippi/counties/MONROE/Ashcroft.MSWIN.2-030.P25.json) |,2,030,1E,,Ashcroft,Monroe,34.02461,-88.367,16,770.85625,773.03125,773.281250c,773.531250c,773.781250c,770.05625,,,,,,,
| Mississippi | Montgomery | MSWIN Mississippi Wireless Integrated Network | [Winona](/configs/Mississippi/counties/MONTGOMERY/Winona.MSWIN.3-010.P25.json) |,3,010,A,2A3,Winona,Montgomery,33.57267,-89.73563,16,769.443750c,769.693750c,769.943750c,771.65625,771.98125,771.33125,,,,,,,
| Mississippi | Neshoba | MSWIN Mississippi Wireless Integrated Network | [Philadelphia South](/configs/Mississippi/counties/NESHOBA/Philadelphia_South.MSWIN.2-045.P25.json) |,2,045,2D,,Philadelphia South,Neshoba,32.73569,-89.09206,16,771.65625,773.068750c,773.318750c,773.568750c,773.818750c,,,,,,,,
| Mississippi | Newton | MSWIN Mississippi Wireless Integrated Network | [Decatur](/configs/Mississippi/counties/NEWTON/Decatur.MSWIN.2-042.P25.json) |,2,042,2A,,Decatur,Newton,32.44497,-89.12433,16,770.931250c,770.181250c,770.431250c,770.681250c,772.75625,,,,,,,,
| Mississippi | Oktibbeha | MSWIN Mississippi Wireless Integrated Network | [Starkville](/configs/Mississippi/counties/OKTIBBEHA/Starkville.MSWIN.2-066.P25.json) |,2,066,42,2A0,Starkville,Oktibbeha,33.43231,-88.74886,20,854.962500c,855.212500c,855.462500c,855.9625,856.2375,854.3375,854.6625,855.7125,856.4875,,,,
| Mississippi | Oktibbeha | MSWIN Mississippi Wireless Integrated Network | [Craig Springs](/configs/Mississippi/counties/OKTIBBEHA/Craig_Springs.MSWIN.2-067.P25.json) |,2,067,43,2A0,Craig Springs,Oktibbeha,33.31206,-88.91894,20,854.0125,854.2625,854.562500c,854.987500c,855.487500c,,,,,,,,
| Mississippi | Oktibbeha | MSWIN Mississippi Wireless Integrated Network | [Downtown Starkville](/configs/Mississippi/counties/OKTIBBEHA/Downtown_Starkville.MSWIN.2-068.P25.json) |,2,068,44,2A0,Downtown Starkville,Oktibbeha,33.46872,-88.817,20,854.050000c,854.225000c,854.375000c,854.600000c,854.75,855.9875,856.4375,856.7125,,,,,
| Mississippi | Panola | MSWIN Mississippi Wireless Integrated Network | [Sardis](/configs/Mississippi/counties/PANOLA/Sardis.MSWIN.3-022.P25.json) |,3,022,16,,Sardis,Panola,34.46514,-89.95006,16,769.28125,769.53125,773.06875,774.318750c,774.568750c,774.818750c,,,,,,,
| Mississippi | Panola | MSWIN Mississippi Wireless Integrated Network | [Batesville](/configs/Mississippi/counties/PANOLA/Batesville.MSWIN.3-044.P25.json) |,3,044,2C,,Batesville,Panola,34.31497,-89.94222,16,770.43125,771.256250c,801.25625,,,,,,,,,,
| Mississippi | Pearl River | MSWIN Mississippi Wireless Integrated Network | [Nicholson](/configs/Mississippi/counties/PEARL RIVER/Nicholson.MSWIN.1-016.P25.json) |,1,016,10,,Nicholson,Pearl River,30.48195,-89.70136,20,769.18125,769.431250c,769.681250c,769.931250c,774.19375,774.89375,,,,,,,
| Mississippi | Pearl River | MSWIN Mississippi Wireless Integrated Network | [Poplarville North](/configs/Mississippi/counties/PEARL RIVER/Poplarville_North.MSWIN.1-023.P25.json) |,1,023,17,,Poplarville North,Pearl River,30.925144,-89.467164,12,770.15625,770.406250c,770.656250c,770.906250c,774.18125,774.88125,,,,,,,
| Mississippi | Pearl River | MSWIN Mississippi Wireless Integrated Network | [Poplarville West](/configs/Mississippi/counties/PEARL RIVER/Poplarville_West.MSWIN.1-024.P25.json) |,1,024,18,,Poplarville West,Pearl River,30.789442,-89.779781,12,772.40625,773.04375,773.293750c,773.543750c,773.793750c,,,,,,,,
| Mississippi | Perry | MSWIN Mississippi Wireless Integrated Network | [Oak Grove](/configs/Mississippi/counties/PERRY/Oak_Grove.MSWIN.1-003.P25.json) |,1,003,3,,Oak Grove,Perry,31.023961,-89.034722,15,772.75625,769.21875,769.468750c,769.718750c,769.968750c,,,,,,,,
| Mississippi | Perry | MSWIN Mississippi Wireless Integrated Network | [New Augusta](/configs/Mississippi/counties/PERRY/New_Augusta.MSWIN.1-005.P25.json) |,1,005,5,,New Augusta,Perry,31.257053,-88.970378,15,771.45625,769.18125,769.431250c,769.681250c,769.931250c,,,,,,,,
| Mississippi | Pike | MSWIN Mississippi Wireless Integrated Network | [Quin](/configs/Mississippi/counties/PIKE/Quin.MSWIN.1-028.P25.json) |,1,028,1C,,Quin,Pike,31.206478,-90.53097,16,769.15625,769.21875,769.406250c,769.656250c,769.906250c,773.48125,773.93125,,,,,,
| Mississippi | Pike | MSWIN Mississippi Wireless Integrated Network | [Osyka](/configs/Mississippi/counties/PIKE/Osyka.MSWIN.1-056.P25.json) |,1,056,38,2A3,Osyka,Pike,31.007722,-90.500111,20,770.781250c,771.681250c,771.931250c,,,,,,,,,,
| Mississippi | Pontotoc | MSWIN Mississippi Wireless Integrated Network | [Pontotoc](/configs/Mississippi/counties/PONTOTOC/Pontotoc.MSWIN.3-029.P25.json) |,3,029,1D,,Pontotoc,Pontotoc,34.16274,-88.92882,16,769.20625,769.456250c,769.706250c,769.956250c,771.83125,772.25625,,,,,,,
| Mississippi | Pontotoc | MSWIN Mississippi Wireless Integrated Network | [Thaxton](/configs/Mississippi/counties/PONTOTOC/Thaxton.MSWIN.3-030.P25.json) |,3,030,1E,,Thaxton,Pontotoc,34.30508,-89.14894,16,769.15625,769.406250c,769.656250c,769.906250c,771.55625,771.30625,,,,,,,
| Mississippi | Prentiss | MSWIN Mississippi Wireless Integrated Network | [MDOT Prentiss](/configs/Mississippi/counties/PRENTISS/MDOT_Prentiss.MSWIN.3-036.P25.json) |,3,036,24,2A5,MDOT Prentiss,Prentiss,34.64544,-88.47233,16,769.918750c,772.98125,769.16875,769.418750c,772.68125,769.66875,,,,,,,
| Mississippi | Rankin | MSWIN Mississippi Wireless Integrated Network | [Cato](/configs/Mississippi/counties/RANKIN/Cato.MSWIN.2-006.P25.json) |,2,006,6,,Cato,Rankin,32.08153,-89.88917,14,771.93125,773.04375,773.293750c,773.543750c,773.793750c,,,,,,,,
| Mississippi | Rankin | MSWIN Mississippi Wireless Integrated Network | [Florence](/configs/Mississippi/counties/RANKIN/Florence.MSWIN.2-007.P25.json) |,2,007,7,,Florence,Rankin,32.13472,-90.06139,14,769.21875,769.46875,769.71875,769.96875,770.19375,770.44375,770.69375,770.943750c,772.28125,772.65625,774.068750c,774.318750c,
| Mississippi | Rankin | MSWIN Mississippi Wireless Integrated Network | [MHP Troop C](/configs/Mississippi/counties/RANKIN/MHP_Troop_C.MSWIN.2-050.P25.json) |,2,050,32,,MHP Troop C,Rankin,32.22939,-90.05197,12,770.03125,770.28125,770.53125,771.00625,771.256250c,774.131250c,774.381250c,774.656250c,,,,,
| Mississippi | Rankin | MSWIN Mississippi Wireless Integrated Network | [Rankin County Simulcast](/configs/Mississippi/counties/RANKIN/Rankin_County_Simulcast.MSWIN.2-058.P25.json) |,2,058,3A,2A8,Rankin County Simulcast,Rankin,32.38825,-90.03208,20,856.0625,856.462500c,856.587500c,856.762500c,857.062500c,855.6375,856.7625,,,,,,
| Mississippi | Scott | MSWIN Mississippi Wireless Integrated Network | [Morton](/configs/Mississippi/counties/SCOTT/Morton.MSWIN.2-037.P25.json) |,2,037,25,,Morton,Scott,32.27661,-89.66777,14,769.15625,769.406250c,769.656250c,769.906250c,772.08125,,,,,,,,
| Mississippi | Scott | MSWIN Mississippi Wireless Integrated Network | [Lake](/configs/Mississippi/counties/SCOTT/Lake.MSWIN.2-038.P25.json) |,2,038,26,,Lake,Scott,32.30122,-89.34736,14,769.18125,769.431250c,769.681250c,769.931250c,771.83125,,,,,,,,
| Mississippi | Simpson | MSWIN Mississippi Wireless Integrated Network | [Harrisville](/configs/Mississippi/counties/SIMPSON/Harrisville.MSWIN.2-004.P25.json) |,2,004,4,,Harrisville,Simpson,31.92756,-90.09981,14,772.40625,774.04375,774.293750c,774.543750c,774.793750c,,,,,,,,
| Mississippi | Simpson | MSWIN Mississippi Wireless Integrated Network | [Mendenhall](/configs/Mississippi/counties/SIMPSON/Mendenhall.MSWIN.2-005.P25.json) |,2,005,5,,Mendenhall,Simpson,31.82486,-89.90019,14,771.60625,773.08125,773.331250c,773.581250c,773.831250c,,,,,,,,
| Mississippi | Smith | MSWIN Mississippi Wireless Integrated Network | [Bay Springs](/configs/Mississippi/counties/SMITH/Bay_Springs.MSWIN.2-031.P25.json) |,2,031,1F,,Bay Springs,Smith,31.91522,-89.36081,14,771.78125,773.05625,773.306250c,773.556250c,773.806250c,,,,,,,,
| Mississippi | Smith | MSWIN Mississippi Wireless Integrated Network | [Raleigh](/configs/Mississippi/counties/SMITH/Raleigh.MSWIN.2-036.P25.json) |,2,036,24,2A6,Raleigh,Smith,32.00086,-89.52275,14,769.20625,769.456250c,769.706250c,769.956250c,772.93125,,,,,,,,
| Mississippi | Stone | MSWIN Mississippi Wireless Integrated Network | [Wiggins South](/configs/Mississippi/counties/STONE/Wiggins_South.MSWIN.1-021.P25.json) |,1,021,15,,Wiggins South,Stone,30.730489,-89.101664,15,773.53125,773.78125,774.031250c,774.281250c,774.531250c,774.781250c,,,,,,,
| Mississippi | Sunflower | MSWIN Mississippi Wireless Integrated Network | [MDOC Parchman](/configs/Mississippi/counties/SUNFLOWER/MDOC_Parchman.MSWIN.3-050.P25.json) |,3,050,32,2A0,MDOC Parchman,Sunflower,33.91892,-90.4945,20,769.331250c,770.106250c,771.056250c,771.856250c,772.13125,,,,,,,,
| Mississippi | Tallahatchie | MSWIN Mississippi Wireless Integrated Network | [Charleston](/configs/Mississippi/counties/TALLAHATCHIE/Charleston.MSWIN.3-015.P25.json) |,3,015,F,2A4,Charleston,Tallahatchie,33.97914,-90.03297,16,772.43125,773.793750c,773.543750c,773.293750c,772.00625,,,,,,,,
| Mississippi | Tate | MSWIN Mississippi Wireless Integrated Network | [Senatobia](/configs/Mississippi/counties/TATE/Senatobia.MSWIN.3-023.P25.json) |,3,023,17,2A1,Senatobia,Tate,34.55827,-89.90953,16,771.33125,771.70625,773.03125,773.281250c,773.531250c,773.781250c,,,,,,,
| Mississippi | Tate | MSWIN Mississippi Wireless Integrated Network | [Arkbutla](/configs/Mississippi/counties/TATE/Arkbutla.MSWIN.3-025.P25.json) |,3,025,19,,Arkbutla,Tate,34.71808,-90.15567,16,770.906250c,770.15625,770.406250c,770.656250c,772.98125,772.65625,,,,,,,
| Mississippi | Tippah | MSWIN Mississippi Wireless Integrated Network | [ETV Booneville](/configs/Mississippi/counties/TIPPAH/ETV_Booneville.MSWIN.3-037.P25.json) |,3,037,25,2A3,ETV Booneville,Tippah,34.67247,-88.74251,16,772.08125,773.04375,773.293750c,773.543750c,773.793750c,774.06875,771.23125,,,,,,
| Mississippi | Tishomingo | MSWIN Mississippi Wireless Integrated Network | [Dennis](/configs/Mississippi/counties/TISHOMINGO/Dennis.MSWIN.3-035.P25.json) |,3,035,23,2A2,Dennis,Tishomingo,34.54511,-88.23023,16,773.05625,773.306250c,773.556250c,773.806250c,774.15625,772.43125,,,,,,,
| Mississippi | Tishomingo | MSWIN Mississippi Wireless Integrated Network | [Iuka](/configs/Mississippi/counties/TISHOMINGO/Iuka.MSWIN.3-043.P25.json) |,3,043,2B,2A0,Iuka,Tishomingo,34.78969,-88.22808,16,771.85625,774.781250c,774.03125,774.28125,771.45625,774.531250c,,,,,,,
| Mississippi | Tunica | MSWIN Mississippi Wireless Integrated Network | [Tunica](/configs/Mississippi/counties/TUNICA/Tunica.MSWIN.3-024.P25.json) |,3,024,18,,Tunica,Tunica,34.59864,-90.39219,16,769.15625,769.406250c,769.656250c,769.906250c,771.63125,771.08125,771.38125,771.95625,772.56875,772.90625,773.64375,773.89375,
| Mississippi | Union | MSWIN Mississippi Wireless Integrated Network | [New Albany](/configs/Mississippi/counties/UNION/New_Albany.MSWIN.3-034.P25.json) |,3,034,22,,New Albany,Union,34.47056,-88.91926,16,772.00625,772.40625,773.06875,773.318750c,773.568750c,773.818750c,,,,,,,
| Mississippi | Walthall | MSWIN Mississippi Wireless Integrated Network | [Tylertown SE](/configs/Mississippi/counties/WALTHALL/Tylertown_SE.MSWIN.1-029.P25.json) |,1,029,1D,,Tylertown SE,Walthall,31.083423,-90.099234,16,771.98125,774.06875,774.318750c,774.568750c,774.818750c,,,,,,,,
| Mississippi | Walthall | MSWIN Mississippi Wireless Integrated Network | [Mesa](/configs/Mississippi/counties/WALTHALL/Mesa.MSWIN.1-030.P25.json) |,1,030,1E,2A1,Mesa,Walthall,31.258078,-90.237869,15,769.21875,769.468750c,769.718750c,769.968750c,774.45625,,,,,,,,
| Mississippi | Warren | MSWIN Mississippi Wireless Integrated Network | [MDOT Warren](/configs/Mississippi/counties/WARREN/MDOT_Warren.MSWIN.2-010.P25.json) |,2,010,A,2A2,MDOT Warren,Warren,32.282597,-90.906831,14,773.15625,774.68125,769.15625,769.406250c,769.656250c,769.906250c,,,,,,,
| Mississippi | Warren | MSWIN Mississippi Wireless Integrated Network | [Forestry Warren](/configs/Mississippi/counties/WARREN/Forestry_Warren.MSWIN.2-011.P25.json) |,2,011,B,2A0,Forestry Warren,Warren,32.448383,-90.746222,14,770.25625,770.50625,774.08125,774.331250c,774.581250c,774.831250c,,,,,,,
| Mississippi | Warren | MSWIN Mississippi Wireless Integrated Network | [Vicksburg](/configs/Mississippi/counties/WARREN/Vicksburg.MSWIN.2-060.P25.json) |,2,060,3C,2A0,Vicksburg,Warren,32.34514,-90.88206,17,854.212500c,854.487500c,854.7125,854.9625,855.2375,855.7125,856.7125,,,,,,
| Mississippi | Warren | MSWIN Mississippi Wireless Integrated Network | [Warren County](/configs/Mississippi/counties/WARREN/Warren_County.MSWIN.2-064.P25.json) |,2,064,40,2A0,Warren County,Warren,32.36425,-90.82953,20,855.9625,857.5625,857.7125,857.7375,857.9375,857.962500c,858.262500c,,,,,,
| Mississippi | Washington | MSWIN Mississippi Wireless Integrated Network | [Greenville](/configs/Mississippi/counties/WASHINGTON/Greenville.MSWIN.3-006.P25.json) |,3,006,6,2A5,Greenville,Washington,33.343,-90.95417,16,774.90625,770.443750c,770.693750c,770.943750c,772.90625,773.20625,773.45625,773.70625,773.95625,774.20625,774.48125,,
| Mississippi | Wayne | MSWIN Mississippi Wireless Integrated Network | [MDOT Wayne](/configs/Mississippi/counties/WAYNE/MDOT_Wayne.MSWIN.1-006.P25.json) |,1,006,6,,MDOT Wayne,Wayne,31.459106,-88.470247,12,771.93125,774.05625,774.306250c,774.556250c,774.806250c,,,,,,,,
| Mississippi | Wayne | MSWIN Mississippi Wireless Integrated Network | [Mulberry](/configs/Mississippi/counties/WAYNE/Mulberry.MSWIN.1-007.P25.json) |,1,007,7,,Mulberry,Wayne,31.453955,-88.768826,12,770.55625,773.06875,773.318750c,773.568750c,773.818750c,,,,,,,,
| Mississippi | Wayne | MSWIN Mississippi Wireless Integrated Network | [East Waynesboro](/configs/Mississippi/counties/WAYNE/East_Waynesboro.MSWIN.1-008.P25.json) |,1,008,8,,East Waynesboro,Wayne,31.742001,-88.539269,14,772.68125,769.16875,769.418750c,769.668750c,769.918750c,,,,,,,,
| Mississippi | Wayne | MSWIN Mississippi Wireless Integrated Network | [Waynesboro West](/configs/Mississippi/counties/WAYNE/Waynesboro_West.MSWIN.1-009.P25.json) |,1,009,9,,Waynesboro West,Wayne,31.705294,-88.773083,16,773.68125,770.16875,770.418750c,770.668750c,770.918750c,,,,,,,,
| Mississippi | Webster | MSWIN Mississippi Wireless Integrated Network | [Stewart](/configs/Mississippi/counties/WEBSTER/Stewart.MSWIN.2-023.P25.json) |,2,023,17,,Stewart,Webster,33.47181,-89.42631,16,770.956250c,770.706250c,770.456250c,770.206250c,773.95625,772.20625,,,,,,,
| Mississippi | Webster | MSWIN Mississippi Wireless Integrated Network | [West Webster](/configs/Mississippi/counties/WEBSTER/West_Webster.MSWIN.2-024.P25.json) |,2,024,18,,West Webster,Webster,33.65519,-89.4835,16,771.53125,774.793750c,774.543750c,774.293750c,774.043750c,771.28125,,,,,,,
| Mississippi | Wilkinson | MSWIN Mississippi Wireless Integrated Network | [Pinckneyville](/configs/Mississippi/counties/WILKINSON/Pinckneyville.MSWIN.1-025.P25.json) |,1,025,19,2A0,Pinckneyville,Wilkinson,31.067242,-91.48625,12,772.73125,774.05625,774.306250c,774.556250c,774.806250c,,,,,,,,
| Mississippi | Wilkinson | MSWIN Mississippi Wireless Integrated Network | [Wilkinson County](/configs/Mississippi/counties/WILKINSON/Wilkinson_County.MSWIN.1-026.P25.json) |,1,026,1A,,Wilkinson County,Wilkinson,31.084354,-91.223385,12,771.18125,774.03125,774.281250c,774.531250c,774.781250c,,,,,,,,
| Mississippi | Wilkinson | MSWIN Mississippi Wireless Integrated Network | [Doloroso ](/configs/Mississippi/counties/WILKINSON/Doloroso_.MSWIN.1-041.P25.json) |,1,041,29,2A0,Doloroso ,Wilkinson,31.306278,-91.360667,14,770.30625,773.03125,773.281250c,773.531250c,773.781250c,,,,,,,,
| Mississippi | Winston | MSWIN Mississippi Wireless Integrated Network | [Louisville](/configs/Mississippi/counties/WINSTON/Louisville.MSWIN.2-051.P25.json) |,2,051,33,2A0,Louisville,Winston,33.11106,-89.13778,16,769.168750c,769.418750c,769.668750c,769.918750c,773.93125,772.80625,,,,,,,
| Mississippi | Winston | MSWIN Mississippi Wireless Integrated Network | [Louisville SE](/configs/Mississippi/counties/WINSTON/Louisville_SE.MSWIN.2-052.P25.json) |,2,052,34,2A1,Louisville SE,Winston,33.06881,-88.86972,16,770.168750c,770.418750c,770.668750c,770.918750c,772.43125,771.95625,,,,,,,
| Mississippi | Yalobusha | MSWIN Mississippi Wireless Integrated Network | [Oakland](/configs/Mississippi/counties/YALOBUSHA/Oakland.MSWIN.3-017.P25.json) |,3,017,11,,Oakland,Yalobusha,34.09947,-89.85883,16,769.16875,769.418750c,769.668750c,769.918750c,772.18125,772.63125,,,,,,,
| Mississippi | Yalobusha | MSWIN Mississippi Wireless Integrated Network | [Water Valley](/configs/Mississippi/counties/YALOBUSHA/Water_Valley.MSWIN.3-018.P25.json) |,3,018,12,,Water Valley,Yalobusha,34.11284,-89.60052,16,770.19375,770.443750c,770.693750c,770.943750c,774.20625,773.45625,,,,,,,
| Mississippi | Yazoo | MSWIN Mississippi Wireless Integrated Network | [Satartia](/configs/Mississippi/counties/YAZOO/Satartia.MSWIN.2-015.P25.json) |,2,015,F,2A4,Satartia,Yazoo,32.65786,-90.50761,18,772.30625,773.08125,773.331250c,773.581250c,773.831250c,,,,,,,,
| Mississippi | Yazoo | MSWIN Mississippi Wireless Integrated Network | [Yazoo City](/configs/Mississippi/counties/YAZOO/Yazoo_City.MSWIN.2-018.P25.json) |,2,018,12,2A1,Yazoo City,Yazoo,32.833444,-90.388,20,772.55625,772.83125,769.18125,769.431250c,769.681250c,769.931250c,,,,,,,